
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	-22.4615 MW
2	Base-Case	-28.5385 MW
3	Base-Case	-42.4615 MW
4	Base-Case	-44.7291 MW
5	Base-Case	-22.8094 MW
6	Base-Case	-37.8079 MW
7	Base-Case	20.0805 MW
8	Base-Case	-7.38203 MW
9	Base-Case	99.836 MW
10	Base-Case	24.681 MW
11	Base-Case	40.618 MW
12	Base-Case	21.618 MW
13	Base-Case	-3.20327e-11 MW
14	Base-Case	-99.836 MW
15	Base-Case	-3.17207e-11 MW
16	Base-Case	-25.6127 MW
17	Base-Case	0.374241 MW
18	Base-Case	-18.663 MW
19	Base-Case	-17.6026 MW
20	Base-Case	20 MW
21	Base-Case	-33.6258 MW
22	Base-Case	-32.663 MW
23	Base-Case	-33.2272 MW
24	Base-Case	-44.9316 MW
25	Base-Case	21.87 MW
26	Base-Case	-42.6026 MW
27	Base-Case	-22.9487 MW
28	Base-Case	-6.75792 MW
29	Base-Case	17.8489 MW
30	Base-Case	-88.488 MW
31	Base-Case	17.0513 MW
32	Base-Case	7.20973 MW
33	Base-Case	19.91 MW
34	Base-Case	-10.7903 MW
35	Base-Case	-24.7903 MW
36	Base-Case	-34.7903 MW
37	Base-Case	-99.0705 MW
38	Base-Case	-12.1091 MW
39	Base-Case	69.3894 MW
40	Base-Case	-19.9372 MW
41	Base-Case	-79.1334 MW
42	Base-Case	-40.664 MW
43	Base-Case	47.2268 MW
44	Base-Case	93.0781 MW
45	Base-Case	34.5133 MW
46	Base-Case	16.8391 MW
47	Base-Case	22.8974 MW
48	Base-Case	17.5133 MW
49	Base-Case	-6.48672 MW
50	Base-Case	-9.17196e-07 MW
51	Base-Case	-31.6378 MW
52	Base-Case	-11.512 MW
53	Base-Case	7.10262 MW
54	Base-Case	-1.12996 MW
55	Base-Case	8.54671 MW
56	Base-Case	-62.4764 MW
57	Base-Case	14.8396 MW
58	Base-Case	-13.7524 MW
59	Base-Case	-19.2476 MW
60	Base-Case	100 MW
61	Base-Case	13.4949 MW
62	Base-Case	3.65119 MW
63	Base-Case	-100 MW
64	Base-Case	-13.5051 MW
65	Base-Case	1.00185 MW
66	Base-Case	-26.2894 MW
67	Base-Case	-35.9982 MW
68	Base-Case	-12.1438 MW
69	Base-Case	-12.1438 MW
70	Base-Case	-3.16036 MW
71	Base-Case	-19.1604 MW
72	Base-Case	-25.3866 MW
73	Base-Case	-46.7738 MW
74	Base-Case	-30.9204 MW
75	Base-Case	-17.7349 MW
76	Base-Case	-21.2897 MW
77	Base-Case	-43.6307 MW
78	Base-Case	-37.7349 MW
79	Base-Case	28.6055 MW
80	Base-Case	36.1281 MW
81	Base-Case	13.2871 MW
82	Base-Case	13.1958 MW
83	Base-Case	-100 MW
84	Base-Case	-100 MW
85	Base-Case	-33.3025 MW
86	Base-Case	11.6055 MW
87	Base-Case	19.8531 MW
88	Base-Case	-0.725069 MW
89	Base-Case	1.85314 MW
90	Base-Case	-21.1469 MW
91	Base-Case	-9.04507 MW
92	Base-Case	-17.9906 MW
93	Base-Case	-5.62827 MW
94	Base-Case	30.972 MW
95	Base-Case	-3.01704 MW
96	Base-Case	0.394469 MW
97	Base-Case	12.7251 MW
98	Base-Case	-4.45718 MW
99	Base-Case	-4.68098 MW
100	Base-Case	-25.0366 MW
101	Base-Case	-30.8999 MW
102	Base-Case	85.6556 MW
103	Base-Case	-74.4204 MW
104	Base-Case	-28.6162 MW
105	Base-Case	-15.9759 MW
106	Base-Case	14.3444 MW
107	Base-Case	-29.8336 MW
108	Base-Case	-16.7585 MW
109	Base-Case	-85.6556 MW
110	Base-Case	-100 MW
111	Base-Case	-100 MW
112	Base-Case	-100 MW
113	Base-Case	44.7585 MW
114	Base-Case	-100 MW
115	Base-Case	-3.10578e-06 MW
116	Base-Case	1.3271e-06 MW
117	Base-Case	-51.2423 MW
