
The Optimal Objective value (Generation Dispatch cost) is: 1797.82

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	8.89894 MW
1	0 MW
1	0 MW
2	100 MW
2	0 MW
2	3.87934 MW
3	1.80723e-10 MW
3	100 MW
3	0 MW
4	100 MW
4	0 MW
4	200 MW
5	2.76833e-11 MW
5	100 MW
5	0 MW
6	185 MW
6	85 MW
6	285 MW
7	2.97458e-11 MW
7	0.0636662 MW
7	0 MW
8	100 MW
8	0 MW
8	200 MW
9	3.50784e-11 MW
9	0 MW
9	0 MW
10	100 MW
10	0 MW
10	0 MW
11	2.44188e-11 MW
11	100 MW
11	8.31324e-12 MW
12	100 MW
12	1.98713e-11 MW
12	200 MW
13	1.90349e-11 MW
13	100 MW
13	0 MW
14	100 MW
14	4.14952e-11 MW
14	2.79585e-10 MW
15	1.01041 MW
15	101.01 MW
15	0 MW
16	100 MW
16	0 MW
16	200 MW
17	43.1269 MW
17	143.127 MW
17	0 MW
18	100 MW
18	0 MW
18	200 MW
19	100 MW
19	25 MW
19	175 MW
20	119 MW
20	194 MW
20	194 MW
21	121.631 MW
21	196.631 MW
21	46.6311 MW
22	148 MW
22	73 MW
22	223 MW
23	75 MW
23	150 MW
23	7.26009e-11 MW
24	100 MW
24	25 MW
24	175 MW
25	136.353 MW
25	61.3533 MW
25	61.3533 MW
26	82.5858 MW
26	7.58585 MW
26	7.58585 MW
27	75 MW
27	2.54344e-10 MW
27	8.71027e-11 MW
28	75 MW
28	3.9798e-11 MW
28	4.42425e-10 MW
29	9.35583e-11 MW
29	2.08242e-10 MW
29	9.22229e-12 MW
30	1.16005e-09 MW
30	1.92487e-11 MW
30	9.83446e-11 MW
31	4.43306e-11 MW
31	1.76739e-10 MW
31	1.13789e-11 MW
32	75 MW
32	1.45027e-11 MW
32	3.36743e-10 MW
33	1.4707e-11 MW
33	1.80704e-10 MW
33	1.15743e-11 MW
34	75 MW
34	2.91427e-11 MW
34	3.21421e-10 MW
35	1.37638e-11 MW
35	1.84461e-10 MW
35	1.20193e-11 MW
36	75 MW
36	1.25762e-11 MW
36	2.48587e-10 MW
37	177.963 MW
37	227.963 MW
37	227.963 MW
38	52.7617 MW
38	102.762 MW
38	102.762 MW
39	38.2109 MW
39	88.2109 MW
39	88.2109 MW
40	237.991 MW
40	287.991 MW
40	287.991 MW
41	58.719 MW
41	108.719 MW
41	108.719 MW
42	65.6823 MW
42	115.682 MW
42	115.682 MW
43	82.1145 MW
43	132.115 MW
43	132.115 MW
44	100 MW
44	150 MW
44	150 MW
45	158.5 MW
45	208.5 MW
45	208.5 MW
46	50.2758 MW
46	100.276 MW
46	100.276 MW
47	42.3902 MW
47	92.3902 MW
47	92.3902 MW
48	41.7933 MW
48	91.7933 MW
48	91.7933 MW
49	43.6206 MW
49	93.6206 MW
49	93.6206 MW
50	33.8436 MW
50	83.8436 MW
50	83.8436 MW
51	31.9815 MW
51	81.9815 MW
51	81.9815 MW
52	32.4193 MW
52	82.4193 MW
52	82.4193 MW
53	100 MW
53	150 MW
53	150 MW
54	24.1264 MW
54	74.1264 MW
54	74.1264 MW
Finished writing Power Generation
