
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	-18.9 MW
2	Base-Case	-32.1001 MW
3	Base-Case	-38.9 MW
4	Base-Case	-52.8295 MW
5	Base-Case	-18.2707 MW
6	Base-Case	25.5838 MW
7	Base-Case	44.4162 MW
8	Base-Case	7.33349 MW
9	Base-Case	76.3925 MW
10	Base-Case	41.8134 MW
11	Base-Case	55.3335 MW
12	Base-Case	36.3335 MW
13	Base-Case	-100 MW
14	Base-Case	23.6075 MW
15	Base-Case	-100 MW
16	Base-Case	-3.54031 MW
17	Base-Case	19.77 MW
18	Base-Case	2.88587 MW
19	Base-Case	5.7368 MW
20	Base-Case	20 MW
21	Base-Case	-14.23 MW
22	Base-Case	-11.1141 MW
23	Base-Case	-23.5155 MW
24	Base-Case	-25.4177 MW
25	Base-Case	33.5891 MW
26	Base-Case	-19.2632 MW
27	Base-Case	-19.4972 MW
28	Base-Case	16.5281 MW
29	Base-Case	46.0266 MW
30	Base-Case	-63.7802 MW
31	Base-Case	20.5027 MW
32	Base-Case	20.0388 MW
33	Base-Case	30.0463 MW
34	Base-Case	2.03909 MW
35	Base-Case	-11.9608 MW
36	Base-Case	-21.9607 MW
37	Base-Case	-16.1889 MW
38	Base-Case	-78.1736 MW
39	Base-Case	65.4028 MW
40	Base-Case	42.0129 MW
41	Base-Case	41.7977 MW
42	Base-Case	7.07953 MW
43	Base-Case	87.3508 MW
44	Base-Case	92.9204 MW
45	Base-Case	20.0939 MW
46	Base-Case	-5.87204 MW
47	Base-Case	11.1288 MW
48	Base-Case	3.09394 MW
49	Base-Case	-20.9061 MW
50	Base-Case	100 MW
51	Base-Case	-17.8795 MW
52	Base-Case	-36.2197 MW
53	Base-Case	18.8713 MW
54	Base-Case	10.5891 MW
55	Base-Case	31.8241 MW
56	Base-Case	-78.4943 MW
57	Base-Case	17.7165 MW
58	Base-Case	-0.824142 MW
59	Base-Case	-32.1759 MW
60	Base-Case	52.0281 MW
61	Base-Case	-19.2508 MW
62	Base-Case	-28.8021 MW
63	Base-Case	47.9719 MW
64	Base-Case	-46.2508 MW
65	Base-Case	16.0903 MW
66	Base-Case	-11.1432 MW
67	Base-Case	-20.9097 MW
68	Base-Case	15.4735 MW
69	Base-Case	15.4735 MW
70	Base-Case	-0.283511 MW
71	Base-Case	-16.2835 MW
72	Base-Case	-47.4593 MW
73	Base-Case	-21.8242 MW
74	Base-Case	29.4021 MW
75	Base-Case	14.1386 MW
76	Base-Case	-21.7261 MW
77	Base-Case	17.1282 MW
78	Base-Case	-5.86143 MW
79	Base-Case	25.9036 MW
80	Base-Case	32.4078 MW
81	Base-Case	9.32973 MW
82	Base-Case	9.26561 MW
83	Base-Case	51.3759 MW
84	Base-Case	51.3759 MW
85	Base-Case	18.8768 MW
86	Base-Case	8.90359 MW
87	Base-Case	18.0117 MW
88	Base-Case	-2.60386 MW
89	Base-Case	0.0116848 MW
90	Base-Case	-22.9883 MW
91	Base-Case	-1.56057 MW
92	Base-Case	15.2486 MW
93	Base-Case	16.919 MW
94	Base-Case	16.9508 MW
95	Base-Case	18.4887 MW
96	Base-Case	3.09641 MW
97	Base-Case	14.6039 MW
98	Base-Case	14.8761 MW
99	Base-Case	15.623 MW
100	Base-Case	22.5115 MW
101	Base-Case	16.1473 MW
102	Base-Case	-5.24791 MW
103	Base-Case	-62.3763 MW
104	Base-Case	6.88788 MW
105	Base-Case	32.6726 MW
106	Base-Case	78.9017 MW
107	Base-Case	-25.2521 MW
108	Base-Case	-12.1874 MW
109	Base-Case	5.24791 MW
110	Base-Case	-73.6538 MW
111	Base-Case	1.68771 MW
112	Base-Case	-27.3696 MW
113	Base-Case	40.1874 MW
114	Base-Case	51.2163 MW
115	Base-Case	21.4141 MW
