
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	-17.1562 MW
2	Base-Case	-24.9449 MW
3	Base-Case	-37.1562 MW
4	Base-Case	-45.5383 MW
5	Base-Case	-18.4066 MW
6	Base-Case	31.2435 MW
7	Base-Case	38.7565 MW
8	Base-Case	50.2636 MW
9	Base-Case	100 MW
10	Base-Case	35.4417 MW
11	Base-Case	-1.73642 MW
12	Base-Case	-20.7364 MW
13	Base-Case	-2.76646e-11 MW
14	Base-Case	6.09884e-07 MW
15	Base-Case	-2.6204e-11 MW
16	Base-Case	-22.6553 MW
17	Base-Case	26.8535 MW
18	Base-Case	12.7603 MW
19	Base-Case	6.28511 MW
20	Base-Case	20 MW
21	Base-Case	-7.14652 MW
22	Base-Case	-1.23965 MW
23	Base-Case	-80.2471 MW
24	Base-Case	-13.055 MW
25	Base-Case	-5.08401 MW
26	Base-Case	-18.7149 MW
27	Base-Case	10.2248 MW
28	Base-Case	46.3068 MW
29	Base-Case	3.23485 MW
30	Base-Case	-77.1148 MW
31	Base-Case	50.2248 MW
32	Base-Case	8.45913 MW
33	Base-Case	-16.2894 MW
34	Base-Case	-9.54087 MW
35	Base-Case	-23.5409 MW
36	Base-Case	-33.5409 MW
37	Base-Case	-100 MW
38	Base-Case	0.752596 MW
39	Base-Case	58.7065 MW
40	Base-Case	19.6385 MW
41	Base-Case	-19.6385 MW
42	Base-Case	48.4104 MW
43	Base-Case	49.163 MW
44	Base-Case	51.5896 MW
45	Base-Case	-0.768634 MW
46	Base-Case	-17.2837 MW
47	Base-Case	5.21538 MW
48	Base-Case	-17.7686 MW
49	Base-Case	-41.7686 MW
50	Base-Case	5.28278 MW
51	Base-Case	18.4662 MW
52	Base-Case	-22.8852 MW
53	Base-Case	24.7846 MW
54	Base-Case	-28.084 MW
55	Base-Case	9.58682 MW
56	Base-Case	-8.77908 MW
57	Base-Case	23.9028 MW
58	Base-Case	-21.7137 MW
59	Base-Case	-11.2863 MW
60	Base-Case	10.6094 MW
61	Base-Case	-13.9708 MW
62	Base-Case	-23.5693 MW
63	Base-Case	-5.32657 MW
64	Base-Case	-40.9708 MW
65	Base-Case	21.3367 MW
66	Base-Case	-5.87676 MW
67	Base-Case	-15.6633 MW
68	Base-Case	20.73 MW
69	Base-Case	20.73 MW
70	Base-Case	5.90284 MW
