
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	1.2323 MW
2	Base-Case	-8.9384 MW
3	Base-Case	-18.7677 MW
4	Base-Case	-43.8509 MW
5	Base-Case	-4.08747 MW
6	Base-Case	15.8741 MW
7	Base-Case	54.1259 MW
8	Base-Case	19.2785 MW
9	Base-Case	100 MW
10	Base-Case	52.7446 MW
11	Base-Case	67.2785 MW
12	Base-Case	48.2785 MW
13	Base-Case	-100 MW
14	Base-Case	2.90782e-07 MW
15	Base-Case	-100 MW
16	Base-Case	24.7306 MW
17	Base-Case	12.1399 MW
18	Base-Case	-8.31725 MW
19	Base-Case	-8.52879 MW
20	Base-Case	20 MW
21	Base-Case	-21.8601 MW
22	Base-Case	-22.3172 MW
23	Base-Case	-41.4175 MW
24	Base-Case	-32.5538 MW
25	Base-Case	39.7939 MW
26	Base-Case	-33.5288 MW
27	Base-Case	-14.4757 MW
28	Base-Case	0.053315 MW
29	Base-Case	16.7398 MW
30	Base-Case	-88.1571 MW
31	Base-Case	25.5243 MW
32	Base-Case	11.4601 MW
33	Base-Case	36.5105 MW
34	Base-Case	-6.53994 MW
35	Base-Case	-20.5399 MW
36	Base-Case	-30.5399 MW
37	Base-Case	2.69984 MW
38	Base-Case	-86.0845 MW
39	Base-Case	45.8447 MW
40	Base-Case	51.3499 MW
41	Base-Case	51.3499 MW
42	Base-Case	-100 MW
43	Base-Case	60.5726 MW
44	Base-Case	100 MW
45	Base-Case	38.1652 MW
46	Base-Case	30.4546 MW
47	Base-Case	29.9528 MW
48	Base-Case	21.1652 MW
49	Base-Case	-2.83479 MW
50	Base-Case	99.9467 MW
51	Base-Case	-29.095 MW
52	Base-Case	-11.8429 MW
53	Base-Case	0.0472161 MW
54	Base-Case	16.7939 MW
55	Base-Case	-1.3355 MW
56	Base-Case	-42.5911 MW
57	Base-Case	21.437 MW
58	Base-Case	-21.2944 MW
59	Base-Case	-11.7056 MW
60	Base-Case	100 MW
61	Base-Case	36.2722 MW
62	Base-Case	26.2251 MW
63	Base-Case	-0.053316 MW
64	Base-Case	9.27219 MW
65	Base-Case	25.6259 MW
66	Base-Case	-1.57111 MW
67	Base-Case	-11.3741 MW
68	Base-Case	-24.9726 MW
69	Base-Case	-24.9726 MW
70	Base-Case	3.43702 MW
71	Base-Case	-12.563 MW
72	Base-Case	-24.3626 MW
73	Base-Case	-41.2004 MW
74	Base-Case	-9.0788 MW
75	Base-Case	-13.9863 MW
76	Base-Case	-51.3073 MW
77	Base-Case	8.2285 MW
78	Base-Case	-33.9863 MW
79	Base-Case	31.4346 MW
80	Base-Case	39.0217 MW
81	Base-Case	14.7925 MW
82	Base-Case	14.6908 MW
83	Base-Case	-38.1656 MW
84	Base-Case	-38.1656 MW
85	Base-Case	16.9524 MW
86	Base-Case	14.4346 MW
87	Base-Case	19.9653 MW
88	Base-Case	2.05645 MW
89	Base-Case	1.96529 MW
90	Base-Case	-21.0347 MW
91	Base-Case	-0.348526 MW
92	Base-Case	27.0433 MW
93	Base-Case	16.7538 MW
94	Base-Case	18.7354 MW
95	Base-Case	17.9161 MW
96	Base-Case	-2.43457 MW
97	Base-Case	9.94355 MW
98	Base-Case	14.2764 MW
99	Base-Case	14.9933 MW
100	Base-Case	-24.5932 MW
101	Base-Case	-29.7795 MW
102	Base-Case	83.6877 MW
103	Base-Case	-66.7342 MW
104	Base-Case	-35.8591 MW
105	Base-Case	-29.5421 MW
106	Base-Case	16.3123 MW
107	Base-Case	-27.7357 MW
108	Base-Case	-14.6654 MW
109	Base-Case	-83.6877 MW
110	Base-Case	-100 MW
111	Base-Case	-100 MW
112	Base-Case	100 MW
113	Base-Case	42.6654 MW
114	Base-Case	100 MW
115	Base-Case	100 MW
116	Base-Case	-100 MW
117	Base-Case	39.671 MW
118	Base-Case	79.7493 MW
119	Base-Case	68.0198 MW
120	Base-Case	-51.3499 MW
121	Base-Case	43.1 MW
122	Base-Case	33.2709 MW
123	Base-Case	-51.3499 MW
124	Base-Case	-9.7817e-13 MW
125	Base-Case	-24.9 MW
126	Base-Case	-14.3042 MW
127	Base-Case	55.4243 MW
128	Base-Case	-45.5757 MW
129	Base-Case	-22.4243 MW
130	Base-Case	43.1567 MW
131	Base-Case	-100 MW
132	Base-Case	-46.1905 MW
133	Base-Case	55.2157 MW
134	Base-Case	-27.8433 MW
135	Base-Case	-66.8433 MW
136	Base-Case	100 MW
137	Base-Case	47.0099 MW
138	Base-Case	54.3337 MW
139	Base-Case	42.2254 MW
140	Base-Case	11.8619 MW
141	Base-Case	20.1611 MW
142	Base-Case	-18.9453 MW
143	Base-Case	2.11838 MW
144	Base-Case	-1.95733 MW
145	Base-Case	-8.88162 MW
146	Base-Case	-5.31968 MW
147	Base-Case	12.5153 MW
148	Base-Case	-7.22519 MW
149	Base-Case	-26.3197 MW
150	Base-Case	-35.4847 MW
151	Base-Case	7.24307 MW
152	Base-Case	13.6579 MW
153	Base-Case	10.6209 MW
154	Base-Case	3.3925 MW
155	Base-Case	-22.911 MW
156	Base-Case	8.56934 MW
157	Base-Case	4.03258 MW
158	Base-Case	-1.52691 MW
159	Base-Case	-11.0604 MW
160	Base-Case	2.3957 MW
161	Base-Case	-7.96742 MW
162	Base-Case	18.3378 MW
163	Base-Case	-5.73606 MW
164	Base-Case	-52.0961 MW
165	Base-Case	-23.6622 MW
166	Base-Case	-39.3337 MW
167	Base-Case	8.22541 MW
168	Base-Case	44.1469 MW
169	Base-Case	24.6043 MW
170	Base-Case	-9.59447 MW
171	Base-Case	2.42938 MW
172	Base-Case	9.19978 MW
173	Base-Case	2.6043 MW
174	Base-Case	6.30873 MW
175	Base-Case	7.49785 MW
176	Base-Case	-5.55754 MW
177	Base-Case	5.79623 MW
178	Base-Case	25.449 MW
179	Base-Case	-0.744379 MW
180	Base-Case	-8.02271 MW
181	Base-Case	-8.35126 MW
182	Base-Case	-10.0227 MW
183	Base-Case	-18.0227 MW
184	Base-Case	-28.567 MW
185	Base-Case	-4.11192 MW
186	Base-Case	-7.95278 MW
Finished writing Internal Transmission lines' MW Flows
