
The Optimal Objective value (Generation Dispatch cost) is: 26988.7

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	4.49606e-12 MW
1	0 MW
1	0 MW
2	18.2506 MW
2	0 MW
2	0 MW
3	4.46738e-12 MW
3	0 MW
3	0 MW
4	16.7417 MW
4	0 MW
4	0 MW
5	4.49535e-12 MW
5	0.00421109 MW
5	4.42701e-12 MW
6	18.2506 MW
6	4.44597e-12 MW
6	2.57546 MW
7	4.47806e-12 MW
7	0 MW
7	0 MW
8	16.8464 MW
8	0 MW
8	0 MW
9	4.60154e-12 MW
9	7.48287 MW
9	0 MW
10	18.2506 MW
10	0 MW
10	0 MW
11	4.45595e-12 MW
11	0.00395093 MW
11	4.45232e-12 MW
12	23.0554 MW
12	4.42887e-12 MW
12	0.00464784 MW
13	4.50493e-12 MW
13	23.8841 MW
13	0 MW
14	31.0134 MW
14	9.63847e-12 MW
14	23.1105 MW
15	9.53497e-12 MW
15	0 MW
15	0 MW
16	36.1967 MW
16	0 MW
16	0 MW
17	9.46441e-12 MW
17	27.4962 MW
17	0 MW
18	18.2506 MW
18	0 MW
18	19.5314 MW
19	1.28303e-11 MW
19	75 MW
19	7.05731e-11 MW
20	119 MW
20	47.5014 MW
20	194 MW
21	6.32157e-12 MW
21	75 MW
21	5.08254e-12 MW
22	75 MW
22	5.2131e-12 MW
22	69.8343 MW
23	5.16871e-12 MW
23	59.6189 MW
23	5.26861e-12 MW
24	75 MW
24	5.1012e-12 MW
24	54.6646 MW
25	20.3661 MW
25	95.3661 MW
25	5.68952e-12 MW
26	75 MW
26	1.10152e-11 MW
26	77.1116 MW
27	6.68893e-11 MW
27	75 MW
27	6.24074e-12 MW
28	75 MW
28	4.91886e-12 MW
28	74.4206 MW
29	4.93163e-12 MW
29	75 MW
29	4.90223e-12 MW
30	75 MW
30	1.60608e-11 MW
30	150 MW
31	1.59941e-11 MW
31	75 MW
31	4.95148e-12 MW
32	75 MW
32	4.90236e-12 MW
32	73.5105 MW
33	4.90256e-12 MW
33	68.3905 MW
33	4.85262e-12 MW
34	75 MW
34	1.0991e-11 MW
34	85.8727 MW
35	4.98904e-12 MW
35	67.2226 MW
35	5.03349e-12 MW
36	75 MW
36	5.1548e-12 MW
36	99.5681 MW
37	92.7779 MW
37	142.778 MW
37	142.778 MW
38	100 MW
38	150 MW
38	150 MW
39	104 MW
39	154 MW
39	154 MW
40	707 MW
40	757 MW
40	757 MW
41	100 MW
41	150 MW
41	150 MW
42	100 MW
42	150 MW
42	150 MW
43	100 MW
43	150 MW
43	150 MW
44	100 MW
44	150 MW
44	150 MW
45	352 MW
45	402 MW
45	402 MW
46	140 MW
46	190 MW
46	190 MW
47	100 MW
47	150 MW
47	150 MW
48	100 MW
48	150 MW
48	150 MW
49	100 MW
49	150 MW
49	150 MW
50	100 MW
50	150 MW
50	150 MW
51	136 MW
51	186 MW
51	186 MW
52	100 MW
52	150 MW
52	150 MW
53	100 MW
53	150 MW
53	150 MW
54	100 MW
54	150 MW
54	150 MW
Finished writing Power Generation
