71	6				
1	2	0.001	0.014	0	175
1	3	0.001	0.211	0	175
1	5	0.001	0.085	0	175
2	4	0.001	0.127	0	175
2	6	0.001	0.192	0	175
3	9	0.001	0.119	0	175
3	24	0.001	0.084	0	400
4	9	0.001	0.104	0	175
5	10	0.001	0.088	0	175
6	10	0.001	0.061	0	175
7	8	0.001	0.061	0	175
8	9	0.001	0.165	0	175
8	10	0.001	0.165	0	175
9	11	0.001	0.084	0	400
9	12	0.001	0.084	0	400
10	11	0.001	0.084	0	400
10	12	0.001	0.084	0	400
11	13	0.001	0.048	0	500
11	14	0.001	0.042	0	500
12	13	0.001	0.048	0	500
12	23	0.001	0.097	0	500
13	23	0.001	0.087	0	500
14	16	0.001	0.059	0	500
15	16	0.001	0.017	0	500
15	21	0.001	0.0245	0	1000
15	24	0.001	0.052	0	500
16	17	0.001	0.026	0	500
16	19	0.001	0.023	0	500
17	18	0.001	0.014	0	500
17	22	0.001	0.105	0	500
18	21	0.001	0.013	0	1000
19	20	0.001	0.02	0	1000
20	23	0.001	0.011	0	1000
21	22	0.001	0.068	0	500
25	26	0.001	0.014	0	175
25	27	0.001	0.211	0	175
25	29	0.001	0.085	0	175
26	28	0.001	0.127	0	175
26	30	0.001	0.192	0	175
27	33	0.001	0.119	0	175
27	48	0.001	0.084	0	400
28	33	0.001	0.104	0	175
29	34	0.001	0.088	0	175
30	34	0.001	0.061	0	175
31	32	0.001	0.061	0	175
32	33	0.001	0.165	0	175
32	34	0.001	0.165	0	175
33	35	0.001	0.084	0	400
33	36	0.001	0.084	0	400
34	35	0.001	0.084	0	400
34	36	0.001	0.084	0	400
35	37	0.001	0.048	0	500
35	38	0.001	0.042	0	500
36	37	0.001	0.048	0	500
36	47	0.001	0.097	0	500
37	47	0.001	0.087	0	500
38	40	0.001	0.059	0	500
39	40	0.001	0.017	0	500
39	45	0.001	0.0245	0	1000
39	48	0.001	0.052	0	500
40	41	0.001	0.026	0	500
40	43	0.001	0.023	0	500
41	42	0.001	0.014	0	500
41	46	0.001	0.105	0	500
42	45	0.001	0.013	0	1000
43	44	0.001	0.02	0	1000
44	47	0.001	0.011	0	1000
45	46	0.001	0.068	0	500
7	27	0.001	0.161	0	500
13	39	0.001	0.075	0	500
23	41	0.001	0.074	0	500
