54	9							
1	0.01	40	0	100	0	20	-20	65.9355
4	0.01	40	0	100	0	20	-20	70.3093
6	0.01	40	0	100	0	20	-20	69.1201
8	0.01	40	0	100	0	20	-20	0.00482477
10	0.0222222	20	0	550	0	20	-20	100
12	0.117647	20	0	185	0	20	-20	90.753
15	0.01	40	0	100	0	20	-20	59.8081
18	0.01	40	0	100	0	20	-20	58.8254
19	0.01	40	0	100	0	20	-20	54.6159
24	0.01	40	0	100	0	20	-20	0
25	0.0454545	20	0	320	0	20	-20	128.55
26	0.0318471	20	0	414	0	20	-20	165.872
27	0.01	40	0	100	0	20	-20	0.000000458
31	1.42857	20	0	107	0	20	-20	6.63142
32	0.01	40	0	100	0	20	-20	0
34	0.01	40	0	100	0	20	-20	56.9118
36	0.01	40	0	100	0	20	-20	57.7307
40	0.01	40	0	100	0	20	-20	15.468
42	0.01	40	0	100	0	15	-15	0
46	0.526316	20	0	119	0	15	-15	16.7097
49	0.0490196	20	0	304	0	15	-15	179.923
54	0.208333	20	0	148	0	15	-15	49.5714
55	0.01	40	0	100	0	15	-15	43.6569
56	0.01	40	0	100	0	15	-15	37.5626
59	0.0645161	20	0	255	0	15	-15	180.432
61	0.0625	20	0	260	0	15	-15	170.478
62	0.01	40	0	100	0	15	-15	35.5143
65	0.0255754	20	0	491	0	15	-15	257.236
66	0.0255102	20	0	492	0	15	-15	314.286
69	0.0193648	20	0	805.2	0	15	-15	351.474
70	0.01	40	0	100	0	15	-15	0
72	0.01	40	0	100	0	15	-15	0
73	0.01	40	0	100	0	15	-15	0
74	0.01	40	0	100	0	15	-15	28.8394
76	0.01	40	0	100	0	15	-15	0
77	0.01	40	0	100	0	15	-15	0
80	0.0209644	20	0	577	0	10	-10	363.798
85	0.01	40	0	100	0	10	-10	0
87	2.5	20	0	104	0	10	-10	2.49856
89	0.0164745	20	0	707	0	10	-10	325.93
90	0.01	40	0	100	0	10	-10	0.000000525
91	0.01	40	0	100	0	10	-10	0
92	0.01	40	0	100	0	10	-10	0
99	0.01	40	0	100	0	10	-10	0.000000558
100	0.0396825	20	0	352	0	10	-10	204.083
103	0.25	20	0	140	0	10	-10	32.3941
104	0.01	40	0	100	0	10	-10	0
105	0.01	40	0	100	0	10	-10	0
107	0.01	40	0	100	0	10	-10	0
110	0.01	40	0	100	0	10	-10	0
111	0.277778	20	0	136	0	10	-10	29.1546
112	0.01	40	0	100	0	10	-10	0
113	0.01	40	0	100	0	10	-10	44.2468
116	0.01	40	0	100	0	10	-10	0
