
Locational Marginal Prices for Real Power at nodes ($/MWh): 
1	-41.6836
2	-41.6828
3	-41.684
4	-41.6856
5	-41.6846
6	-41.6849
7	-41.6839
8	-41.6836
9	-41.6841
10	-41.6835
11	-41.6837
12	-41.6834
13	-41.6836
14	-41.6832
15	-41.6832
16	-41.6834
17	-41.6835
18	-41.6853
19	-41.6842
20	-41.6836
21	-41.6823
22	-41.6822
23	-41.6822
24	-41.6823
25	-41.6826
26	-41.6839
27	-41.6839
28	-41.6839
29	-41.6839
30	-41.6826
31	-41.6827
32	-41.6826
33	-41.6826
34	-41.6823
35	-41.6823
36	-41.6823
37	-41.6824
38	-41.6823
39	-41.6824
40	-41.6823
41	-41.6835
42	-41.6833
43	-41.6836
44	-41.6823
45	-41.6828
46	-41.6834
47	-41.6835
48	-41.6825
49	-41.6828
50	-41.683
51	-41.6836
52	-41.684
53	-41.6839
54	-41.684
55	-41.6841
56	-41.6832
57	-41.6831
