Gen#	Conn.	MW
1	1	141.356
2	2	33.6443
T.line#	From	To	From MW	To MW
1	1	2	-100	100
2	1	3	-41.3557	41.3557
3	2	3	-21.8083	21.8083
4	2	4	-25.6684	25.6684
5	2	5	-56.1676	56.1676
6	3	4	-23.164	23.164
7	4	5	-8.83246	8.83246
T.line#	Contingency Scenario	From	To	From MW	To MW
1	1	1	2	-108.686	108.686
1	2	1	2	-101.848	101.848
2	1	1	3	-32.6696	32.6696
2	2	1	3	-39.5076	39.5076
3	1	2	3	-7.33036	7.33036
3	2	2	3	-18.7275	18.7275
4	1	2	4	-41.1109	41.1109
4	2	2	4	-21.7649	21.7649
5	1	2	5	-63.8892	63.8892
5	2	2	5	-65.0001	65.0001
6	1	3	4	0	0
6	2	3	4	-18.2351	18.2351
7	1	4	5	-1.11088	1.11088
7	2	4	5	0	0
